日期,收盘,开盘,高,低,交易量,涨跌幅
2017年8月28日,59.13,59.33,59.48,58.78,2.38M,-0.15%
2017年8月29日,59.08,58.82,59.38,58.71,2.83M,-0.08%
2017年8月30日,59.17,58.86,59.23,58.69,2.86M,0.15%
2017年8月31日,59.7,59.47,59.9,59.29,3.73M,0.90%
2017年9月1日,59.75,59.69,59.92,59.28,2.64M,0.08%
2017年9月5日,60.72,60,60.75,59.97,4.62M,1.62%
2017年9月6日,61.62,60.92,62.04,60.85,4.09M,1.48%
2017年9月7日,61.86,61.59,62.05,61.36,4.04M,0.39%
2017年9月8日,60.24,60.78,60.93,59.78,3.50M,-2.62%
2017年9月11日,60.41,60.36,60.67,60.12,4.40M,0.28%
2017年9月12日,60.78,60.35,60.98,60.28,4.44M,0.61%
2017年9月13日,61.55,61.1,61.6,60.9,4.14M,1.27%
2017年9月14日,61.58,61.68,62.43,61.4,4.77M,0.05%
2017年9月15日,61.35,61.58,61.72,61.22,5.29M,-0.37%
2017年9月18日,61.8,61.28,61.95,61.09,4.19M,0.73%
2017年9月19日,61.86,61.8,62.15,61.59,3.22M,0.10%
2017年9月20日,62.49,62.1,62.86,62,3.52M,1.02%
2017年9月21日,62.75,62.38,62.95,62.24,2.68M,0.42%
2017年9月22日,62.94,62.69,63.49,62.56,3.41M,0.30%
2017年9月25日,64.58,63.35,64.97,63.26,5.16M,2.61%
2017年9月26日,64.44,64.25,64.64,64.1,3.43M,-0.22%
2017年9月27日,65.19,64.53,65.2,64.24,3.52M,1.16%
2017年9月28日,64.97,65.17,65.7,64.86,3.39M,-0.34%
2017年9月29日,64.21,64.66,64.77,64.14,3.56M,-1.17%
2017年10月2日,64.11,63.81,64.15,63.47,2.78M,-0.16%
2017年10月3日,63.98,64.1,64.14,63.61,1.86M,-0.20%
2017年10月4日,64.39,64.06,64.48,63.57,3.36M,0.64%
2017年10月5日,64.35,64.4,64.55,64.13,3.03M,-0.06%
2017年10月6日,63.91,63.91,64.18,63.7,2.30M,-0.68%
2017年10月9日,64,64.08,64.41,63.79,3.12M,0.14%
2017年10月10日,64.5,64.38,64.95,64.34,3.44M,0.78%
2017年10月11日,64.39,64.55,64.71,64.14,2.04M,-0.17%
2017年10月12日,64.22,64.17,64.31,63.9,3.10M,-0.26%
2017年10月13日,64.73,64.73,65.22,64.66,3.38M,0.79%
2017年10月16日,64.77,65.03,65.12,64.54,2.67M,0.06%
2017年10月17日,64.64,64.83,64.92,64.23,3.09M,-0.20%
2017年10月18日,64.63,64.63,65,64.43,2.90M,-0.02%
2017年10月19日,64.84,64.31,65,64.2,3.57M,0.32%
2017年10月20日,65.47,65.12,65.59,64.87,4.52M,0.97%
2017年10月23日,65.05,65.49,65.64,64.86,3.41M,-0.64%
2017年10月24日,65.82,65.3,66.11,65.12,6.59M,1.18%
2017年10月25日,65.35,65.67,66.24,64.92,6.91M,-0.71%
2017年10月26日,64.62,65.42,65.67,64.38,4.45M,-1.12%
2017年10月27日,65.05,64.02,65.43,63.65,5.06M,0.67%
2017年10月30日,64.96,65.05,65.53,64.82,4.37M,-0.14%
2017年10月31日,64.57,64.85,65,64.28,5.24M,-0.60%
2017年11月1日,65.46,65.16,65.78,65.07,6.18M,1.38%
2017年11月2日,67.9,65.97,68.04,65.82,7.88M,3.73%
2017年11月3日,68.26,67.96,68.75,67.18,6.37M,0.53%
2017年11月6日,68.82,68.52,68.97,68.42,3.99M,0.82%
2017年11月7日,68.75,68.75,69.12,68.58,3.31M,-0.10%
2017年11月8日,68.17,68.62,68.66,67.79,4.64M,-0.84%
2017年11月9日,68.7,67.95,68.88,67.92,2.97M,0.78%
2017年11月10日,68.17,68.46,68.81,68.05,3.49M,-0.77%
2017年11月13日,67.93,68,68.41,67.78,3.68M,-0.35%
2017年11月14日,67.32,67.81,67.81,67.04,4.18M,-0.90%
2017年11月15日,66.67,66.79,67.08,66.45,4.88M,-0.97%
2017年11月16日,67.17,66.56,67.46,66.51,3.60M,0.75%
2017年11月17日,68.4,67.91,68.79,67.85,5.51M,1.83%
2017年11月20日,67.81,68.18,68.29,67.77,4.16M,-0.86%
2017年11月21日,67.88,68.07,68.28,67.72,2.97M,0.10%
2017年11月22日,68.23,68.18,68.41,68.08,2.70M,0.52%
2017年11月24日,68.42,68.45,68.64,68.4,1.60M,0.28%
2017年11月27日,68.08,68.17,68.42,67.66,8.20M,-0.50%
2017年11月28日,68.96,68.02,68.98,67.86,4.81M,1.29%
2017年11月29日,69.9,68.74,69.95,68.51,5.11M,1.36%
2017年11月30日,70.5,70.03,70.61,69.83,6.53M,0.86%
2017年12月1日,70.24,70.75,71.09,69.77,4.97M,-0.37%
2017年12月4日,70.06,70.49,71.14,69.99,3.68M,-0.26%
2017年12月5日,70,70.17,70.45,69.84,2.72M,-0.09%
2017年12月6日,69.27,69.97,70.04,68.98,3.30M,-1.04%
2017年12月7日,69.41,69.08,69.59,69.01,3.81M,0.20%
2017年12月8日,68.87,68.68,69.09,68.28,3.06M,-0.78%
2017年12月11日,69.5,68.9,69.84,68.9,2.86M,0.91%
2017年12月12日,70.03,69.92,70.15,69.36,6.18M,0.76%
2017年12月13日,69.97,69.89,70.12,69.71,3.99M,-0.09%
2017年12月14日,70.55,70.07,70.87,69.87,5.52M,0.83%
2017年12月15日,70.62,70.87,71.04,70.45,7.55M,0.10%
2017年12月18日,70.97,70.91,71.22,70.63,3.09M,0.50%
2017年12月19日,70.9,71,71.2,70.62,4.20M,-0.10%
2017年12月20日,71.88,71.17,71.95,70.95,2.84M,1.38%
2017年12月21日,72.58,71.95,72.66,71.79,2.90M,0.97%
2017年12月22日,72.99,72.6,73.27,72.44,5.47M,0.56%
2017年12月26日,73.54,72.97,73.9,72.97,2.21M,0.75%
2017年12月27日,73.32,73.54,73.66,73.08,2.24M,-0.30%
2017年12月28日,73.7,73.37,73.78,73.22,1.68M,0.52%
2017年12月29日,73.66,73.98,74.06,73.63,3.18M,-0.05%
2018年1月2日,73.98,74.01,74.3,73.48,2.83M,0.43%
2018年1月3日,75,74.04,75.11,74,3.46M,1.38%
2018年1月4日,74.96,74.6,74.99,74.11,2.71M,-0.05%
2018年1月5日,74.55,74.83,74.97,74.25,3.24M,-0.55%
2018年1月8日,75.19,74.6,75.24,74.41,3.17M,0.86%
2018年1月9日,74.89,75.23,75.44,74.81,2.99M,-0.40%
2018年1月10日,74.25,74.9,74.95,74.14,4.09M,-0.85%
2018年1月11日,75.82,74.64,75.98,74.27,5.06M,2.11%
2018年1月12日,76.53,76,76.76,75.77,5.78M,0.94%
2018年1月16日,75.27,76.78,76.79,75.27,4.33M,-1.65%
2018年1月17日,75.86,75.57,76.19,74.96,3.11M,0.78%
2018年1月18日,75.39,75.81,76.1,75.37,3.01M,-0.62%
2018年1月19日,75.55,75.45,75.63,75.1,3.22M,0.21%
2018年1月22日,77.63,75.74,77.63,75.74,4.31M,2.75%
2018年1月23日,77.42,77.45,77.9,77.22,3.31M,-0.27%
2018年1月24日,77.56,77.76,78.09,77.07,3.36M,0.18%
2018年1月25日,76.74,77.58,77.77,76.68,2.47M,-1.06%
2018年1月26日,77.18,76.8,77.3,76.49,2.35M,0.57%
2018年1月29日,76.24,76.88,77.19,76.08,3.01M,-1.22%
2018年1月30日,74.76,75.48,76.04,74.68,4.42M,-1.94%
2018年1月31日,74.97,74.86,75.25,74.22,4.63M,0.28%
2018年2月1日,76.1,75.02,76.28,74.99,3.17M,1.51%
2018年2月2日,73.58,75.2,75.2,73.35,5.51M,-3.31%
2018年2月5日,70.91,72.99,73.87,70.05,5.79M,-3.63%
2018年2月6日,71.22,69.77,71.66,69.4,5.62M,0.44%
2018年2月7日,69.87,71.48,72.2,69.85,5.63M,-1.90%
2018年2月8日,68.47,69.99,70.16,68.47,7.13M,-2.00%
2018年2月9日,68.18,69.04,69.41,65.71,5.44M,-0.42%
2018年2月12日,69.87,68.89,70.53,68.89,3.95M,2.48%
2018年2月13日,69.72,69.21,70.17,69.12,4.52M,-0.21%
2018年2月14日,69.85,66.62,70.2,66.6,8.01M,0.19%
2018年2月15日,69.43,69.95,70.05,67.69,5.02M,-0.60%
2018年2月16日,68.16,69.21,69.41,68.07,5.79M,-1.83%
2018年2月20日,67.99,68.88,68.88,67.81,5.11M,-0.25%
2018年2月21日,67.21,67.99,68.7,67.19,5.11M,-1.15%
2018年2月22日,67.92,67.82,68.81,67.36,3.79M,1.06%
2018年2月23日,68.32,68.34,68.85,67.72,3.85M,0.59%
2018年2月26日,67.27,68.36,68.42,67.15,7.39M,-1.54%
2018年2月27日,66.75,67.61,67.98,66.75,6.62M,-0.77%
2018年2月28日,65.6,67.25,67.39,65.59,8.15M,-1.72%
2018年3月1日,65.63,65.7,66.39,65.08,5.52M,0.05%
2018年3月2日,65.64,65.12,65.85,64.24,3.75M,0.02%
2018年3月5日,65.92,65.17,66.38,65.01,4.75M,0.43%
2018年3月6日,65.66,66.45,66.51,65.56,4.44M,-0.39%
2018年3月7日,65.19,65.12,65.7,64.2,4.69M,-0.72%
2018年3月8日,62.96,64.39,64.55,62.47,9.40M,-3.42%
2018年3月9日,63.67,63.39,63.76,63.1,12.06M,1.13%
2018年3月12日,63.89,63.75,64.54,63.5,7.82M,0.35%
2018年3月13日,64.2,64.18,64.93,63.92,4.84M,0.49%
2018年3月14日,64.04,64.54,64.81,63.93,3.47M,-0.25%
2018年3月15日,63.91,64.34,64.66,63.21,3.23M,-0.20%
2018年3月16日,64.45,64,64.47,63.63,6.19M,0.84%
2018年3月19日,63.65,64.07,64.21,63.13,4.69M,-1.24%
2018年3月20日,63.91,63.9,64.73,63.61,4.88M,0.41%
2018年3月21日,66.04,64.24,66.51,64.21,4.78M,3.33%
2018年3月22日,65.18,65.31,65.98,64.99,6.32M,-1.30%
2018年3月23日,65.49,66,67.38,65.36,6.25M,0.48%
2018年3月26日,67.2,66.22,67.28,65.93,3.94M,2.61%
2018年3月27日,65.82,67.32,67.62,65.44,5.38M,-2.05%
2018年3月28日,63.15,65.96,65.99,62.98,10.39M,-4.06%
2018年3月29日,64.96,63.58,65.46,63.45,7.82M,2.87%
2018年4月2日,64.67,64.86,65.16,63.44,6.82M,-0.45%
2018年4月3日,66.63,64.88,66.67,64.46,7.49M,3.03%
2018年4月4日,66.62,65.75,66.69,65.5,6.63M,-0.02%
2018年4月5日,67.77,66.89,68.03,66.71,7.94M,1.73%
2018年4月6日,67.53,67.43,68.11,66.67,6.90M,-0.35%
2018年4月9日,68.93,68.08,69.7,67.6,7.92M,2.07%
2018年4月10日,70.51,69.9,70.84,69.54,8.01M,2.29%
2018年4月11日,71.68,70.53,71.95,70.49,5.00M,1.66%
2018年4月12日,71.78,71.77,72.25,71.36,4.74M,0.14%
2018年4月13日,73.63,72.48,73.82,72.31,6.32M,2.58%
2018年4月16日,74.91,74.45,74.98,73.78,5.21M,1.74%
2018年4月17日,75.22,74.95,75.49,74.55,4.19M,0.41%
2018年4月18日,75.92,76.14,76.66,75.71,4.28M,0.93%
2018年4月19日,75.99,76.21,76.53,75.57,5.46M,0.09%
2018年4月20日,76.47,75.8,76.88,75.45,5.03M,0.63%
2018年4月23日,77.24,76.27,77.26,75.67,3.22M,1.01%
2018年4月24日,77.34,77.45,78.02,76.9,4.88M,0.13%
2018年4月25日,77.36,77.25,77.4,76.36,5.58M,0.03%
2018年4月26日,77.6,77.7,77.78,77.15,3.67M,0.31%
2018年4月27日,77.04,77.1,77.66,76.76,2.90M,-0.72%
2018年4月30日,77.26,76.98,78.11,76.98,3.74M,0.29%
2018年5月1日,76.58,76.96,77.08,75.97,3.90M,-0.88%
2018年5月2日,76.83,76.36,77.16,76.36,3.98M,0.33%
2018年5月3日,77.29,76.63,77.77,76.23,4.77M,0.60%
2018年5月4日,77.71,76.88,78.12,76.69,2.98M,0.54%
2018年5月7日,77.28,78.21,79.31,77.27,5.11M,-0.55%
2018年5月8日,78.2,77.02,78.42,76.54,7.16M,1.19%
2018年5月9日,82.4,80.91,83.82,80.71,11.03M,5.37%
2018年5月10日,83.86,82.95,84.28,82.56,5.74M,1.77%
2018年5月11日,84.97,83.9,85.78,83.23,6.62M,1.32%
2018年5月14日,84.89,85.23,86.14,84.44,6.46M,-0.09%
2018年5月15日,84.27,84.64,85.03,83.88,4.64M,-0.73%
2018年5月16日,84.26,84.35,84.7,83.54,5.24M,-0.01%
2018年5月17日,86.16,84.67,86.24,84.25,4.94M,2.25%
2018年5月18日,85.42,85.99,86.1,84.99,3.50M,-0.86%
2018年5月21日,85.79,85.98,86.32,85.22,5.81M,0.43%
2018年5月22日,84.95,85.72,86.38,84.85,3.83M,-0.98%
2018年5月23日,85.33,84.32,85.54,83.63,3.51M,0.45%
2018年5月24日,83.86,84.43,84.68,83.7,3.32M,-1.72%
2018年5月25日,82.4,82.41,83.11,80.72,4.15M,-1.74%
2018年5月29日,81.83,82.49,82.77,81.03,4.13M,-0.69%
2018年5月30日,84.07,82.38,84.56,82.36,3.78M,2.74%
2018年5月31日,84.2,83.58,84.78,83.4,4.86M,0.15%
2018年6月1日,85.1,84.65,86.11,84.09,4.94M,1.07%
2018年6月4日,85.36,85.74,86.06,84.48,4.31M,0.31%
2018年6月5日,85.51,85.65,87.17,85.29,6.39M,0.18%
2018年6月6日,86.46,85.91,87.12,85.84,6.53M,1.11%
2018年6月7日,86.48,87,87.67,86.17,7.23M,0.02%
2018年6月8日,85.47,86.01,86.28,84.66,5.53M,-1.17%
2018年6月11日,86.15,85.89,86.75,85.28,5.81M,0.80%
2018年6月12日,84.93,85.77,86.14,84.55,6.05M,-1.42%
2018年6月13日,84.33,84.62,84.98,83.91,4.40M,-0.71%
2018年6月14日,84.35,84.88,85.22,84.26,3.68M,0.02%
2018年6月15日,83.33,84.03,84.09,82.84,7.48M,-1.21%
2018年6月18日,83.79,83.27,85.17,83.19,5.25M,0.55%
2018年6月19日,82.58,82.7,83.4,82.17,5.43M,-1.44%
2018年6月20日,83.24,82.92,83.76,82.71,4.45M,0.80%
2018年6月21日,82.09,83.03,83.11,81.68,5.00M,-1.38%
2018年6月22日,83.33,84.38,84.4,82.87,5.70M,1.51%
2018年6月25日,81.35,83.5,83.51,80.83,3.78M,-2.38%
2018年6月26日,82.68,81.67,82.98,81.45,3.93M,1.63%
2018年6月27日,83.77,83.65,84.69,83.55,5.13M,1.32%
2018年6月28日,83.4,84.26,84.69,83.08,3.51M,-0.44%
2018年6月29日,83.68,84.03,84.84,83.6,3.85M,0.34%
2018年7月2日,82.52,83.04,83.21,82.28,3.09M,-1.39%
2018年7月3日,83.86,83.63,84.81,83.29,2.98M,1.62%
2018年7月5日,84.19,84.48,84.48,83.66,3.67M,0.39%
2018年7月6日,84.25,83.76,84.69,83.61,2.80M,0.07%
2018年7月9日,85.25,84.7,85.57,84.69,3.00M,1.19%
2018年7月10日,85.7,85.62,86.6,85.53,4.60M,0.53%
2018年7月11日,83.93,84.9,85.23,83.46,5.11M,-2.07%
2018年7月12日,84.56,84.71,85.08,83.1,4.69M,0.75%
2018年7月13日,83.64,84.14,84.54,83.44,4.72M,-1.09%
2018年7月16日,82.53,82.8,83.39,81.34,3.66M,-1.33%
2018年7月17日,82.69,82.33,82.86,81.61,3.48M,0.19%
2018年7月18日,82.96,82.14,83.22,81.29,3.83M,0.33%
2018年7月19日,82.98,82.75,83.53,82.55,3.50M,0.02%
2018年7月20日,83.08,83.1,83.34,82.48,3.15M,0.12%
2018年7月23日,82.45,83.27,83.57,82.34,3.33M,-0.76%
2018年7月24日,83.46,82.81,84.59,82.64,7.05M,1.22%
2018年7月25日,84.33,83.67,84.93,83.36,4.62M,1.04%
2018年7月26日,84.16,84.2,84.65,83.87,4.17M,-0.20%
2018年7月27日,83.47,83.88,84.24,83.19,2.79M,-0.82%
2018年7月30日,83.31,84.09,84.23,83.05,3.20M,-0.19%
2018年7月31日,83.93,83.61,84.55,83.08,5.07M,0.74%
2018年8月1日,82.64,83.09,83.26,82.39,3.42M,-1.54%
2018年8月2日,82.24,82.01,82.56,81.84,3.36M,-0.48%
2018年8月3日,82.29,82.1,82.53,81.89,3.28M,0.06%
2018年8月6日,82.3,82.45,82.68,81.75,3.22M,0.01%
2018年8月7日,81.94,82.99,83.13,81.81,3.93M,-0.44%
2018年8月8日,81.2,81.61,81.76,80.33,4.54M,-0.90%
2018年8月9日,77.79,79.47,79.66,76.09,14.63M,-4.20%
2018年8月10日,78.78,77.43,78.89,77.3,8.38M,1.27%
2018年8月13日,78.14,78.89,79.42,78,6.06M,-0.81%
2018年8月14日,79.66,78.69,79.91,78.51,5.70M,1.95%
2018年8月15日,76.93,79.15,79.24,76.84,6.49M,-3.43%
2018年8月16日,78.02,77.42,78.87,77.38,5.47M,1.42%
2018年8月17日,78.55,78.52,78.97,78.21,4.80M,0.68%
2018年8月20日,79.01,78.52,79.38,78.4,3.12M,0.59%
2018年8月21日,78.89,79.34,79.57,78.73,3.28M,-0.15%
2018年8月22日,79.33,79.45,79.8,79.21,2.95M,0.56%
2018年8月23日,78.98,78.98,79.18,78.59,2.31M,-0.44%
2018年8月24日,79.34,79.47,80.45,79.21,2.58M,0.46%
2018年8月27日,80.21,79.46,80.32,79.46,2.24M,1.10%
2018年8月28日,80.11,80.54,81.06,79.82,3.17M,-0.12%
2018年8月29日,80.23,80.41,80.9,80.07,3.15M,0.15%
2018年8月30日,80.13,80.02,80.33,79.55,3.22M,-0.12%
2018年8月31日,79.87,80,80.2,79.58,3.23M,-0.32%
2018年9月4日,79.27,80.04,80.06,77.78,5.13M,-0.75%
2018年9月5日,79.14,78.75,79.31,77.71,3.85M,-0.16%
2018年9月6日,77.57,79,79.05,77.14,4.08M,-1.98%
2018年9月7日,76.65,76.24,77.19,75.85,3.32M,-1.19%
2018年9月10日,76.88,77,77.78,76.84,2.73M,0.30%
2018年9月11日,77.12,76.63,77.74,76.42,4.16M,0.31%
2018年9月12日,75.74,77.61,77.88,75.29,5.54M,-1.79%
2018年9月13日,76.64,75.46,76.97,74.69,7.68M,1.19%
2018年9月14日,77.58,76.73,78.04,76.73,4.67M,1.23%
2018年9月17日,77.6,77.79,78.07,77.4,3.00M,0.03%
2018年9月18日,78.88,78.89,79.98,78.54,3.79M,1.65%
2018年9月19日,79.38,78.9,79.9,78.22,3.79M,0.63%
2018年9月20日,79.23,79.64,79.85,78.71,3.75M,-0.19%
2018年9月21日,79.6,79.63,79.76,78.31,8.39M,0.47%
2018年9月24日,80.75,80.34,81.8,80.07,4.70M,1.44%
2018年9月25日,81.31,81.24,81.59,80.77,5.32M,0.69%
2018年9月26日,81.01,80.86,82.13,80.82,4.22M,-0.37%
2018年9月27日,81.17,81.44,81.58,80.45,5.24M,0.20%
2018年9月28日,82.17,80.75,83.08,80.62,6.41M,1.23%
2018年10月1日,83.13,82.32,83.3,82.05,4.17M,1.17%
2018年10月2日,82.87,83.27,83.35,82.49,3.47M,-0.31%
2018年10月3日,82.45,82.93,83.03,81.79,3.87M,-0.51%
2018年10月4日,82.18,81.91,82.63,81.5,3.96M,-0.33%
2018年10月5日,81.4,82.17,82.32,81.03,3.25M,-0.95%
2018年10月8日,81.75,80.9,81.97,80.63,5.29M,0.43%
2018年10月9日,82.23,82.18,82.81,81.58,3.33M,0.59%
2018年10月10日,77.92,82.38,82.58,77.86,5.06M,-5.24%
2018年10月11日,76.53,77.7,77.84,76,5.67M,-1.78%
2018年10月12日,76.96,77.41,77.64,75.72,4.27M,0.56%
2018年10月15日,72.24,74.97,75.37,72.02,9.76M,-6.13%
2018年10月16日,73.12,73.89,73.97,72.15,7.99M,1.22%
2018年10月17日,72.92,72.8,73.08,71.95,5.40M,-0.27%
2018年10月18日,71.9,72.31,72.69,71.51,5.42M,-1.40%
2018年10月19日,72.18,71.87,73.52,71.87,5.69M,0.39%
2018年10月22日,72.29,72.4,72.51,71.25,4.34M,0.15%
2018年10月23日,70.64,71,71.1,69.91,5.66M,-2.28%
2018年10月24日,68.23,71.03,71.5,68.16,7.29M,-3.41%
2018年10月25日,68.65,69.13,69.66,68.02,5.41M,0.62%
2018年10月26日,67.91,67.94,68.69,66.84,6.33M,-1.08%
2018年10月29日,66.46,68.28,68.56,65.65,4.51M,-2.14%
2018年10月30日,67.55,66.42,67.71,66.06,4.77M,1.64%
2018年10月31日,67.07,68.21,69.14,67.03,4.99M,-0.71%
2018年11月1日,68.35,67.18,68.65,66.86,6.13M,1.91%
2018年11月2日,68.31,68.73,69.13,67.57,6.66M,-0.06%
2018年11月5日,69.95,68.93,70.62,68.7,7.97M,2.40%
2018年11月6日,73.34,74.3,75.11,71.14,11.08M,4.85%
2018年11月7日,73.72,74.94,75.79,73.29,6.00M,0.52%
2018年11月8日,72.63,73.53,73.84,72.27,4.44M,-1.48%
2018年11月9日,73.55,71.71,74.15,70.9,6.98M,1.27%
2018年11月12日,72.16,74.29,74.29,71.82,5.20M,-1.89%
2018年11月13日,70.78,72.13,72.67,70.47,5.50M,-1.91%
2018年11月14日,70.95,72.12,72.47,70.29,5.87M,0.24%
2018年11月15日,72.59,70.51,72.74,69.7,4.81M,2.31%
2018年11月16日,73.38,72.92,73.61,72.25,4.76M,1.09%
2018年11月19日,73.36,72.61,73.64,72.48,5.15M,-0.03%
2018年11月20日,70.3,72.52,72.78,69.71,4.48M,-4.17%
2018年11月21日,72.08,70.59,73.03,70.51,4.51M,2.53%
2018年11月23日,69.83,70.5,70.5,69.05,3.25M,-3.12%
2018年11月26日,70.64,70.47,71.32,70.26,4.53M,1.16%
2018年11月27日,69.38,70.15,70.39,68.82,5.55M,-1.78%
2018年11月28日,70.71,69.27,70.71,67.51,4.66M,1.92%
2018年11月29日,70.91,70.71,71.7,70.51,3.62M,0.28%
2018年11月30日,70.27,70.25,71,69.13,5.95M,-0.90%
2018年12月3日,71.32,72.04,72.43,70.54,5.02M,1.49%
2018年12月4日,69.67,71.6,71.8,68.8,4.46M,-2.31%
2018年12月6日,67.52,68.45,68.47,65.89,7.53M,-3.09%
2018年12月7日,66.54,67.69,68.63,66.41,5.49M,-1.45%
2018年12月10日,64.44,65.71,66.07,62.57,6.14M,-3.16%
2018年12月11日,64.7,65.39,65.64,63.81,6.03M,0.40%
2018年12月12日,65.41,65.72,66.67,65.37,6.62M,1.10%
2018年12月13日,66.68,65.25,67,64.73,6.73M,1.94%
2018年12月14日,65.1,66.13,66.57,64.53,5.09M,-2.37%
2018年12月17日,64.11,64.82,65.76,63.58,5.67M,-1.52%
2018年12月18日,63.14,64.05,64.32,62.57,5.80M,-1.51%
2018年12月19日,62.24,63.8,64.36,61.52,6.61M,-1.43%
2018年12月20日,60.63,61.21,62.38,60.03,7.30M,-2.59%
2018年12月21日,59.98,60.41,61.55,59.6,12.54M,-1.07%
2018年12月24日,57.11,59.42,59.83,57.11,4.13M,-4.78%
2018年12月26日,60.6,57.62,60.63,56.83,7.17M,6.11%
2018年12月27日,60.76,59.45,60.78,58.52,6.81M,0.26%
2018年12月28日,60.47,61.19,61.46,60.18,5.03M,-0.48%
2018年12月31日,61.38,60.78,61.5,60.51,5.13M,1.50%
2019年1月2日,62,60.52,62.4,59.72,5.36M,1.01%
2019年1月3日,61.24,62.18,62.4,60.73,5.47M,-1.23%
2019年1月4日,63.21,62.28,63.42,62.03,6.37M,3.22%
2019年1月7日,64.48,63.55,65.33,62.75,5.77M,2.01%
2019年1月8日,64.99,65.3,66.31,64.9,5.42M,0.79%
2019年1月9日,65.78,65.48,66.22,65.25,4.52M,1.22%
2019年1月10日,66.19,65.81,66.28,65.04,4.98M,0.62%
2019年1月11日,66.22,65.66,66.25,65.19,3.89M,0.05%
2019年1月14日,65.58,65.45,66.47,65.4,6.60M,-0.97%
2019年1月15日,65.52,65.81,66.53,65.35,4.50M,-0.09%
2019年1月16日,65.14,65.51,65.67,65.08,4.48M,-0.58%
2019年1月17日,65.83,64.65,66.1,64.45,4.77M,1.06%
