日期,收盘,开盘,高,低,交易量,涨跌幅
2020年3月6日,26.86,30.16,30.21,26.27,38.97M,-14.68%
2020年3月9日,12.51,15.58,19.19,12.04,104.93M,-53.43%
2020年3月10日,14.34,15.4,15.5,12.57,110.53M,14.63%
2020年3月11日,11.8,13.12,13.4,11.7,70.59M,-17.71%
2020年3月12日,11.89,10.23,14.84,9.44,73.14M,0.76%
2020年3月13日,14.26,13.31,14.56,11.59,64.91M,19.93%
2020年3月16日,12.02,11.4,13.68,11.2,37.31M,-15.71%
2020年3月17日,11.34,12.38,12.8,11.05,34.73M,-5.66%
2020年3月18日,10.53,10.45,10.84,9,41.26M,-7.14%
2020年3月19日,10.83,10.41,10.98,9.4,38.09M,2.85%
2020年3月20日,10.23,11.15,11.18,9.55,50.83M,-5.54%
2020年3月23日,9.69,10.25,10.29,9.47,36.78M,-5.28%
2020年3月24日,10.72,10.4,10.77,9.7,42.02M,10.63%
2020年3月25日,12,11.25,12.63,10.22,55.41M,11.94%
2020年3月26日,12.83,12.05,15.29,12,70.32M,6.92%
2020年3月27日,11.61,12.04,12.38,11.49,34.68M,-9.51%
2020年3月30日,11.01,11.32,11.45,10.2,44.72M,-5.17%
2020年3月31日,11.58,11.52,12.08,11.11,35.57M,5.18%
2020年4月1日,10.74,11.04,11.17,10.12,39.84M,-7.25%
2020年4月2日,12.77,11.48,13.91,11.2,79.14M,18.90%
2020年4月3日,13,13.83,14.2,11.51,92.06M,1.80%
2020年4月6日,13.44,12.6,13.5,12.43,52.07M,3.38%
2020年4月7日,13.84,14.18,15.2,13.62,54.73M,2.98%
2020年4月8日,15.56,14.2,15.68,14.05,48.99M,12.43%
2020年4月9日,15.36,16.7,18.27,14.27,110.85M,-1.29%
2020年4月13日,15.33,15.96,16.02,14.77,43.70M,-0.20%
2020年4月14日,14.9,15.4,15.82,14.64,40.66M,-2.80%
2020年4月15日,13.61,13.9,13.9,13,47.47M,-8.66%
2020年4月16日,12.2,13.63,13.66,12.16,40.45M,-10.36%
2020年4月17日,13.63,12.33,13.65,12.25,51.69M,11.72%
2020年4月20日,12.59,12.04,13.22,11.9,74.98M,-7.63%
2020年4月21日,12.34,12,12.39,11.5,62.59M,-1.99%
2020年4月22日,13.02,13.08,13.37,12.75,44.57M,5.51%
2020年4月23日,13.87,13.42,14.4,13.36,55.05M,6.53%
2020年4月24日,13.81,14.18,14.5,13.48,41.03M,-0.43%
2020年4月27日,14.15,13.35,14.29,12.75,39.97M,2.46%
2020年4月28日,15.17,14.46,15.26,14.3,46.18M,7.21%
2020年4月29日,16.78,15.94,16.88,15.82,59.58M,10.61%
2020年4月30日,16.6,16.89,17.24,15.85,44.49M,-1.07%
2020年5月1日,15.24,16.02,16.42,15.09,36.90M,-8.19%
2020年5月4日,15.52,14.37,15.57,14.16,37.20M,1.84%
2020年5月5日,15.32,16.46,16.81,15,49.50M,-1.29%
2020年5月6日,13.4,15.51,15.96,13.39,57.66M,-12.53%
2020年5月7日,13.88,13.86,14.52,13.7,35.57M,3.58%
2020年5月8日,15.02,14.31,15.05,14.1,31.35M,8.21%
2020年5月11日,15.03,14.89,15.25,14.64,22.90M,0.07%
2020年5月12日,14.58,15.26,15.38,14.55,27.10M,-2.99%
2020年5月13日,13.44,14.65,14.65,13.28,35.26M,-7.82%
2020年5月14日,13.76,13.15,14.15,12.75,32.06M,2.38%
2020年5月15日,13.82,13.69,14.28,13.51,27.76M,0.44%
2020年5月18日,15.07,14.8,15.23,14.66,39.94M,9.04%
2020年5月19日,14.37,15.19,15.19,14.36,28.71M,-4.64%
2020年5月20日,14.99,14.74,15.15,14.56,29.20M,4.31%
2020年5月21日,14.25,15,15.16,14.19,35.67M,-4.94%
2020年5月22日,14.13,14.16,14.23,13.67,26.33M,-0.84%
2020年5月26日,14.4,14.7,14.77,14.21,28.03M,1.91%
2020年5月27日,14.42,14.7,14.7,13.81,31.40M,0.14%
